,tokenids,sentences,targets
543,83092,"""`` Ruby Gillis thinks of nothing but beaus , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
544,35666,"""`` I will say it for the child , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
545,13784,"""`` Can you wash dishes right ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
546,74573,"""`` Where ? '' "", ","7,Carrie Sloane,
"
547,111323,"""`` Marilla ! '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
548,26090,"""`` She 's terrible skinny and homely , Marilla . Come here , child , and let me have a look at you . Lawful heart , did any one ever see such freckles ? And hair as red as carrots ! Come here , child , I say . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
549,8321,"""`` That 's Barry 's pond , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
550,49039,"""`` No . The sitting room will do for you and your company . But there 's a bottle half full of raspberry cordial that was left over from the church social the other night . It 's on the second shelf of the sitting-room closet and you and Diana can have it if you like , and a cooky to eat with it along in the afternoon , for I daresay Matthew ` ll be late coming in to tea since he 's hauling potatoes to the vessel . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
551,10862,"""`` You 're not eating anything , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
552,20494,"""`` You 'd find it easier to be bad than good if you had red hair , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
553,70269,"""`` You 'll be using the best tea set , of course , Marilla , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
554,83529,"""`` I wo n't mind writing that composition when its time comes , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
555,17738,"""`` I 'm as well as can be expected , thank you , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
556,79578,"""`` I -- I thought it might come in handy sometime , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
557,97246,"""`` Oh , how can you call Ben Hur a novel when it 's really such a religious book ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
558,73915,"""`` dare . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
559,33011,"""`` I do n't know what ` squadrons ' means nor ` Midian , ' either , but it sounds _ so _ tragical . I can hardly wait until next Sunday to recite it . I 'll practice it all the week . After Sunday school I asked Miss Rogerson -- because Mrs. Lynde was too far away -- to show me your pew . I sat just as still as I could and the text was Revelations , third chapter , second and third verses . It was a very long text . If I was a minister I 'd pick the short , snappy ones . The sermon was awfully long , too . I suppose the minister had to match it to the text . I did n't think he was a bit interesting . The trouble with him seems to be that he has n't enough imagination . I did n't listen to him very much . I just let my thoughts run and I thought of the most surprising things . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
560,99736,"""`` Hurrah ! '' "", ","17,Moody Spurgeon,3,Moody Spurgeon MacPherson,
"
561,44490,"""`` but I think he 's very bold . It is n't good manners to wink at a strange girl . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
562,69122,"""`` but he does n't seem to get any comfort out of it . If I could be good I 'd dance and sing all day because I was glad of it . I suppose Mrs. Allan is too old to dance and sing and of course it would n't be dignified in a minister 's wife . But I can just feel she 's glad she 's a Christian and that she 'd be one even if she could get to heaven without it . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
563,35995,"""`` Oh , Marilla , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
564,34643,"""`` Oh , Diana , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
565,92701,"""`` we 'll get Mother to ask Marilla . She 'll be more likely to let you go then ; and if she does we 'll have the time of our lives , Anne . I 've never been to an Exhibition , and it 's so aggravating to hear the other girls talking about their trips . Jane and Ruby have been twice , and they 're going this year again . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
566,61985,"""`` Let 's undress here , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
567,96781,"""`` Oh , I know what she was saying . I meant to tell you , Marilla , honestly I did , but I forgot . Miss Stacy caught me reading Ben Hur in school yesterday afternoon when I should have been studying my Canadian history . Jane Andrews lent it to me . I was reading it at dinner hour , and I had just got to the chariot race when school went in . I was simply wild to know how it turned out -- although I felt sure Ben Hur must win , because it would n't be poetical justice if he did n't -- so I spread the history open on my desk lid and then tucked Ben Hur between the desk and my knee . I just looked as if I were studying Canadian history , you know , while all the while I was reveling in Ben Hur . I was so interested in it that I never noticed Miss Stacy coming down the aisle until all at once I just looked up and there she was looking down at me , so reproachful-like . I ca n't tell you how ashamed I felt , Marilla , especially when I heard Josie Pye giggling . Miss Stacy took Ben Hur away , but she never said a word then . She kept me in at recess and talked to me . She said I had done very wrong in two respects . First , I was wasting the time I ought to have put on my studies ; and secondly , I was deceiving my teacher in trying to make it appear I was reading a history when it was a storybook instead . I had never realized until that moment , Marilla , that what I was doing was deceitful . I was shocked . I cried bitterly , and asked Miss Stacy to forgive me and I 'd never do such a thing again ; and I offered to do penance by never so much as looking at Ben Hur for a whole week , not even to see how the chariot race turned out . But Miss Stacy said she would n't require that , and she forgave me freely . So I think it was n't very kind of her to come up here to you about it after all . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
568,2177,"""`` Are you in earnest , Marilla ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
569,6420,"""`` kind of liked her chatter . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
570,91514,"""`` And I do n't want ever to hear the word ` romantic ' again , Jane Andrews . I 'm awfully sorry you were so frightened , girls . It is all my fault . I feel sure I was born under an unlucky star . Everything I do gets me or my dearest friends into a scrape . We 've gone and lost your father 's flat , Diana , and I have a presentiment that we 'll not be allowed to row on the pond any more . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
571,29788,"""`` There , there , get up , child , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
572,18617,"""`` I was under the impression that Mr. and Miss Cuthbert wanted a little girl to adopt . I was certainly told so . But it seems it was a boy they wanted . So if you 're still of the same mind you were yesterday , I think she 'll be just the thing for you . '' "", ","9,Mrs. Blewett,3,Mrs. Peter,2,Mrs. Peter Blewett,1,Blewett,1,Peter,
"
573,33443,"""`` Lots of little girls there had bouquets pinned on their dresses . What 's the difference ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
574,23448,"""`` Marilla , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
575,51397,"""`` Anne Shirley , when I ask you a question I want to be answered . Sit right up this very minute and tell me what you are crying about . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
576,111355,"""`` I 'm not a bit changed -- not really . I 'm only just pruned down and branched out . The real _ me _ -- back here -- is just the same . It wo n't make a bit of difference where I go or how much I change outwardly ; at heart I shall always be your little Anne , who will love you and Matthew and dear Green Gables more and better every day of her life . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
577,103804,"""`` If you would stop crying I could , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
578,11944,"""`` Matthew Cuthbert , you do n't mean to say you think we ought to keep her ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
579,5508,"""`` Well now , I du n no , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
580,7165,"""`` Well now , I 'm afraid I ca n't , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
581,121170,"""`` I do n't call it much hope , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
582,110447,"""`` _ Did _ you see all the diamonds those ladies wore ? '' "", ","71,Jane,21,Jane Andrews,
"
583,51459,"""`` She says that I set Diana _ drunk _ Saturday and sent her home in a disgraceful condition . And she says I must be a thoroughly bad , wicked little girl and she 's never , never going to let Diana play with me again . Oh , Marilla , I 'm just overcome with woe . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
584,63278,"""`` Why did n't you tell them it was my fault ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
585,51112,"""`` I never heard of company going home without tea , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
586,76675,"""`` Of course I will , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
587,121887,"""`` Not going to Redmond ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
588,34847,"""`` Well , I do n't mind doing that , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
589,27930,"""`` You 'll have the night to think over your conduct in and come to a better frame of mind . You said you would try to be a very good girl if we kept you at Green Gables , but I must say it has n't seemed very much like it this evening . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
590,50175,"""`` Marilla is a famous cook . She is trying to teach me to cook but I assure you , Diana , it is uphill work . There 's so little scope for imagination in cookery . You just have to go by rules . The last time I made a cake I forgot to put the flour in . I was thinking the loveliest story about you and me , Diana . I thought you were desperately ill with smallpox and everybody deserted you , but I went boldly to your bedside and nursed you back to life ; and then I took the smallpox and died and I was buried under those poplar trees in the graveyard and you planted a rosebush by my grave and watered it with your tears ; and you never , never forgot the friend of your youth who sacrificed her life for you . Oh , it was such a pathetic tale , Diana . The tears just rained down over my cheeks while I mixed the cake . But I forgot the flour and the cake was a dismal failure . Flour is so essential to cakes , you know . Marilla was very cross and I do n't wonder . I 'm a great trial to her . She was terribly mortified about the pudding sauce last week . We had a plum pudding for dinner on Tuesday and there was half the pudding and a pitcherful of sauce left over . Marilla said there was enough for another dinner and told me to set it on the pantry shelf and cover it . I meant to cover it just as much as could be , Diana , but when I carried it in I was imagining I was a nun -- of course I 'm a Protestant but I imagined I was a Catholic -- taking the veil to bury a broken heart in cloistered seclusion ; and I forgot all about covering the pudding sauce . I thought of it next morning and ran to the pantry . Diana , fancy if you can my extreme horror at finding a mouse drowned in that pudding sauce ! I lifted the mouse out with a spoon and threw it out in the yard and then I washed the spoon in three waters . Marilla was out milking and I fully intended to ask her when she came in if I 'd give the sauce to the pigs ; but when she did come in I was imagining that I was a frost fairy going through the woods turning the trees red and yellow , whichever they wanted to be , so I never thought about the pudding sauce again and Marilla sent me out to pick apples . Well , Mr. and Mrs. Chester Ross from Spencervale came here that morning . You know they are very stylish people , especially Mrs. Chester Ross . When Marilla called me in dinner was all ready and everybody was at the table . I tried to be as polite and dignified as I could be , for I wanted Mrs. Chester Ross to think I was a ladylike little girl even if I was n't pretty . Everything went right until I saw Marilla coming with the plum pudding in one hand and the pitcher of pudding sauce _ warmed up _ , in the other . Diana , that was a terrible moment . I remembered everything and I just stood up in my place and shrieked out ` Marilla , you must n't use that pudding sauce . There was a mouse drowned in it . I forgot to tell you before . ' Oh , Diana , I shall never forget that awful moment if I live to be a hundred . Mrs. Chester Ross just _ looked _ at me and I thought I would sink through the floor with mortification . She is such a perfect housekeeper and fancy what she must have thought of us . Marilla turned red as fire but she never said a word -- then . She just carried that sauce and pudding out and brought in some strawberry preserves . She even offered me some , but I could n't swallow a mouthful . It was like heaping coals of fire on my head . After Mrs. Chester Ross went away , Marilla gave me a dreadful scolding . Why , Diana , what is the matter ? '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
591,1840,"""`` This is a real fine evening , is n't it ? Wo n't you sit down ? How are all your folks ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
592,95665,"""`` I thought you 'd be hungry after such a drive and need something real appetizing . Hurry and take off your things , and we 'll have supper as soon as Matthew comes in . I 'm glad you 've got back , I must say . It 's been fearful lonesome here without you , and I never put in four longer days . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
593,117698,"""`` You 've been working too hard today , Matthew , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
594,46098,"""`` Yes , sir , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
595,45308,"""`` Honest I am . Do n't be mad for keeps , now . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
596,46644,"""`` She 'll have to , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
597,39454,"""`` You 'll stay in this room until you confess , Anne . You can make up your mind to that , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
598,15817,"""`` Well , I do n't know . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
599,52909,"""`` Anne , you should n't say such things '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
600,71048,"""`` Oh , Marilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
601,8332,"""`` Oh , I do n't like that name , either . I shall call it -- let me see -- the Lake of Shining Waters . Yes , that is the right name for it . I know because of the thrill . When I hit on a name that suits exactly it gives me a thrill . Do things ever give you a thrill ? '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
602,57697,"""`` I was awfully near giving up in despair , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
603,41540,"""`` Oh , Marilla , I 've had a perfectly scrumptious time . Scrumptious is a new word I learned today . I heard Mary Alice Bell use it . Is n't it very expressive ? Everything was lovely . We had a splendid tea and then Mr. Harmon Andrews took us all for a row on the Lake of Shining Waters -- six of us at a time . And Jane Andrews nearly fell overboard . She was leaning out to pick water lilies and if Mr. Andrews had n't caught her by her sash just in the nick of time she 'd fallen in and prob ' ly been drowned . I wish it had been me . It would have been such a romantic experience to have been nearly drowned . It would be such a thrilling tale to tell . And we had the ice cream . Words fail me to describe that ice cream . Marilla , I assure you it was sublime . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
604,53844,"""`` I do n't think there is much fear of your dying of grief as long as you can talk , Anne , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
605,70649,"""`` Oh , you must take a piece of this , Mrs. Allan . Anne made it on purpose for you . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
606,15599,"""`` Oh , what I _ know _ about myself is n't really worth telling , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
607,2194,"""`` Yes , of course , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
608,82463,"""`` Perhaps after a while I 'll get used to it , but I 'm afraid concerts spoil people for everyday life . I suppose that is why Marilla disapproves of them . Marilla is such a sensible woman . It must be a great deal better to be sensible ; but still , I do n't believe I 'd really want to be a sensible person , because they are so unromantic . Mrs. Lynde says there is no danger of my ever being one , but you can never tell . I feel just now that I may grow up to be sensible yet . But perhaps that is only because I 'm tired . I simply could n't sleep last night for ever so long . I just lay awake and imagined the concert over and over again . That 's one splendid thing about such affairs -- it 's so lovely to look back to them . '' "", ","3,Avonlea,
"
609,37608,"""`` You set your heart too much on things , Anne , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
610,81222,"""`` I 've got something more for you , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
611,27769,"""`` especially as they 're rather scarce in Avonlea . But apologize to Mrs. Lynde you must and shall and you 'll stay here in your room until you can tell me you 're willing to do it . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
612,96187,"""`` Miss Stacy was here this afternoon when you were out with Diana . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
613,43831,"""`` Nonsense , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
614,60411,"""`` It 's an honor you 'll have to get along without . Go to bed , Anne , and do n't let me hear another word out of you . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
615,79364,"""`` White or brown ? '' "", ","6,Miss Harris,
"
616,17702,"""`` you 're the last folks I was looking for today , but I 'm real glad to see you . You 'll put your horse in ? And how are you , Anne ? '' "", ","34,Mrs. Spencer,4,Mrs. Alexander Spencer,2,Spencer,
"
617,86576,"""`` Anne Shirley , whatever is the matter with you ? What have you done ? Get right up this minute and tell me . This minute , I say . There now , what is it ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
618,105523,"""`` pass high '' "", ","40,Josie Pye,33,Josie,3,Pye,
"
619,53641,"""`` It is all over , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
620,21796,"""`` You have n't scalded the dishcloth in clean hot water as I told you to do , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
621,20633,"""`` Why , of course , if you want me to , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
622,45001,"""`` I am sorry to see a pupil of mine displaying such a temper and such a vindictive spirit , '' "", ","62,Gilbert,51,Gilbert Blythe,2,Blythe,
"
623,38852,"""`` Of course , I do n't suppose she meant to steal it or anything like that . She 's just taken it to play with or help along that imagination of hers . She must have taken it , that 's clear , for there has n't been a soul in that room since she was in it , by her own story , until I went up tonight . And the brooch is gone , there 's nothing surer . I suppose she has lost it and is afraid to own up for fear she 'll be punished . It 's a dreadful thing to think she tells falsehoods . It 's a far worse thing than her fit of temper . It 's a fearful responsibility to have a child in your house you ca n't trust . Slyness and untruthfulness -- that 's what she has displayed . I declare I feel worse about that than about the brooch . If she 'd only have told the truth about it I would n't mind so much . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
624,41476,"""`` Oh , Marilla , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
625,120471,"""`` Josie is a Pye , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
626,103644,"""`` It does seem as if it was the end of everything , does n't it ? '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
627,13939,"""`` You 're both queer enough , if that 's what you mean by kindred spirits , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
628,40264,"""`` You need n't plead , Anne . You are not going to the picnic and that 's final . No , not a word . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
629,64483,"""`` Miss Barry was a kindred spirit , after all , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
630,107260,"""`` an epoch in her life , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
631,97531,"""`` Oh , indeed , Marilla , I do want to hear it , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
632,70672,"""`` In that case I must sample it , '' "", ","62,Mrs. Allan,
"
633,120090,"""`` Doctor Spencer was here while you were away , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
634,40792,"""`` Well now , she 's such a little thing , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
635,71877,"""`` Mrs. Allan told me she meant to have all the members of her Sunday-school class to tea in turn , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
636,12040,"""`` We might be some good to her , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
637,100526,"""`` I never would have thought she 'd have turned out so well that first day I was here three years ago , '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
638,68340,"""`` I do n't think Mr. Smith would have done , Matthew '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
639,116574,"""`` I thought you liked that Stella Maynard better than me , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
640,103724,"""`` It wo n't be a bit the same . Miss Stacy wo n't be there , nor you nor Jane nor Ruby probably . I shall have to sit all alone , for I could n't bear to have another deskmate after you . Oh , we have had jolly times , have n't we , Anne ? It 's dreadful to think they 're all over . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
641,19548,"""`` I would n't give a dog I liked to that Blewett woman , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
642,578,"""`` cotton warp '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
643,120988,"""`` Yes , I saw him . He examined my eyes . He says that if I give up all reading and sewing entirely and any kind of work that strains the eyes , and if I 'm careful not to cry , and if I wear the glasses he 's given me he thinks my eyes may not get any worse and my headaches will be cured . But if I do n't he says I 'll certainly be stone-blind in six months . Blind ! Anne , just think of it ! '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
644,63172,"""`` Your Aunt Josephine was very cross about it , was n't she ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
645,33585,"""`` Oh , I 'm so sorry , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
646,34229,"""`` How are you ? '' "", ","47,Mrs. Barry,
"
647,21177,"""`` I could have made it much more flowery if I 'd had a little more time to think it over . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
648,58276,"""`` You just go right to bed and have a good sleep . I 'll do all the chores . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
649,59336,"""`` I do n't know about that , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
650,81563,"""`` Everything went off very well , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
651,98815,"""`` What is Gilbert Blythe going to be ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
652,95092,"""`` Well , I hope you 've enjoyed yourselves , '' "", ","36,Miss Barry,11,Josephine,5,Miss Josephine Barry,2,Barry,1,Josephine Barry,
"
653,64296,"""`` I think perhaps I will if you will come over and talk to me occasionally , '' "", ","36,Miss Barry,11,Josephine,5,Miss Josephine Barry,2,Barry,1,Josephine Barry,
"
654,63717,"""`` But we were only in fun , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
655,54351,"""`` strawberry apple . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
656,63866,"""`` I do n't think it is any excuse for you that you were only in fun . Little girls never indulged in that kind of fun when I was young . You do n't know what it is to be awakened out of a sound sleep , after a long and arduous journey , by two great girls coming bounce down on you . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
657,44968,"""`` carrots . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
658,77105,"""`` Promote fiddlesticks ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
659,79506,"""`` Brown sugar ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
660,56884,"""`` Whatever is the matter , Diana ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
661,93911,"""`` It was splendid , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
662,46229,"""`` acksually never seen anything like it -- it was so white , with awful little red spots in it . '' "", ","45,Ruby Gillis,23,Ruby,1,Gillis,
"
663,111574,"""`` I guess my putting in my oar occasional never did much harm after all . She 's smart and pretty , and loving , too , which is better than all the rest . She 's been a blessing to us , and there never was a luckier mistake than what Mrs. Spencer made -- if it _ was _ luck . I do n't believe it was any such thing . It was Providence , because the Almighty saw we needed her , I reckon . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
664,11700,"""`` How can you call it a _ good _ night when you know it must be the very worst night I 've ever had ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
665,111205,"""`` No , I was n't crying over your piece , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
666,38195,"""`` Did you touch it ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
667,116814,"""`` The Newbridge trustees have offered Jane their school already , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
668,21737,"""`` Oh , please , Miss Cuthbert , wo n't you tell me if you are going to send me away or not ? I 've tried to be patient all the morning , but I really feel that I can not bear not knowing any longer . It 's a dreadful feeling . Please tell me . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
669,35061,"""`` Oh yes , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
670,20240,"""`` I never say any prayers , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
671,17765,"""`` I suppose we 'll stay a little while to rest the mare , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
